,from,to,dist,to_cell_id_code,from_cell_id_code,nn_from
0,0,297,10.49095756456046,htzithig-298,bogkoqnj-1,4
1,0,1002,15.312435329792626,oyeuvvtm-1003,bogkoqnj-1,4
2,0,1854,15.042116565740647,pdqaiutu-1855,bogkoqnj-1,4
3,0,3065,19.686729429250956,tlhjgcsy-3066,bogkoqnj-1,4
4,1,348,14.705128525218772,kjmctavc-349,deqkxklz-2,6
5,1,407,13.905620766123127,uijpeeef-408,deqkxklz-2,6
6,1,1784,1.0713093437549113,bbshaaai-1785,deqkxklz-2,6
7,1,2665,9.616911976395054,kpthaxej-2666,deqkxklz-2,6
8,1,2761,19.761803384920338,ividjukv-2762,deqkxklz-2,6
9,1,2980,1.9757679123233869,zwmozfca-2981,deqkxklz-2,6
10,2,1122,4.747298284735652,kygjievf-1123,rgnqkpqo-3,3
11,2,1457,16.14405718406697,pssvcyxu-1458,rgnqkpqo-3,3
12,2,3530,19.377202174110362,mafrywsw-3531,rgnqkpqo-3,3
13,3,697,18.608967398373412,ptfwgbsp-698,kipysfah-4,8
14,3,820,16.393741646265973,adfxpdbj-821,kipysfah-4,8
15,3,1957,17.877693581131886,rvrnxbds-1958,kipysfah-4,8
16,3,1962,18.13882474783704,ysogglth-1963,kipysfah-4,8
17,3,2160,15.23584479876619,cvilayal-2161,kipysfah-4,8
18,3,3654,7.79388135698648,lrptwtwb-3655,kipysfah-4,8
19,3,4063,10.838172080259588,ruwpzedv-4064,kipysfah-4,8
20,3,4107,19.048386502450896,jchtaxnr-4108,kipysfah-4,8
21,4,3398,18.498814686474294,hirazzhr-3399,onmhlbji-5,1
22,5,2486,9.471782631585386,xygkvwnl-2487,hatxhido-6,3
23,5,2619,18.038699892863328,flsbvvlu-2620,hatxhido-6,3
24,5,3328,10.022831609885065,xolmcxzb-3329,hatxhido-6,3
25,6,1138,5.437158204983775,nlkupqja-1139,mhecrwjz-7,4
26,6,3204,7.127708055649475,lqhjzjpz-3205,mhecrwjz-7,4
27,6,3227,11.47812305465315,jpgarsif-3228,mhecrwjz-7,4
28,6,3471,4.310956701593582,qcbyonvi-3472,mhecrwjz-7,4
29,7,1241,19.569293458261026,tkewvlql-1242,scbajvyh-8,3
30,7,1634,13.467298784075005,qwikfzed-1635,scbajvyh-8,3
31,7,1761,16.39497730053503,bbuwspdo-1762,scbajvyh-8,3
32,8,1207,11.112611586798161,juypewcn-1208,qeukttir-9,6
33,8,2793,17.597720526635122,sjokebqs-2794,qeukttir-9,6
34,8,2867,16.168789062290358,epaulkdb-2868,qeukttir-9,6
35,8,3077,10.664791858927542,veryzilt-3078,qeukttir-9,6
36,8,3143,5.866819897160755,loihlchd-3144,qeukttir-9,6
37,8,3874,7.237699889311142,ejurvvur-3875,qeukttir-9,6
38,9,131,4.479276251944407,vpccuvjz-132,bgipadrs-10,4
39,9,2045,12.280872239667193,jdzahokt-2046,bgipadrs-10,4
40,9,2191,14.367483898996745,mijqrirr-2192,bgipadrs-10,4
41,9,3854,17.00511309475533,wjegosif-3855,bgipadrs-10,4
42,10,1267,16.46584050583235,fwomvbkg-1268,ukgagdov-11,3
43,10,1435,9.460940908211963,mlumoxeo-1436,ukgagdov-11,3
44,10,4338,10.561901213773988,aowvaefg-4339,ukgagdov-11,3
45,11,755,8.92866058338864,gsfvnztv-756,bmcdihtp-12,2
46,11,2011,11.605159690290957,xrndhrgy-2012,bmcdihtp-12,2
47,12,70,16.01935833747756,uivldpzr-71,geouakwh-13,2
48,12,3744,15.64435122557602,tndjccwt-3745,geouakwh-13,2
49,13,406,19.237761761184384,etbiouen-407,uowqbfqc-14,4
50,13,556,12.584231719938336,bxhkapqt-557,uowqbfqc-14,4
51,13,2176,19.629147349095906,rdxnovse-2177,uowqbfqc-14,4
52,13,3213,13.228297129886407,jvtyhewr-3214,uowqbfqc-14,4
53,14,54,17.442172218195527,ziseohcp-55,xbemwvlt-15,3
54,14,1174,18.25647976173476,xtddrzjy-1175,xbemwvlt-15,3
55,14,3553,19.57831567407645,pztsoqwu-3554,xbemwvlt-15,3
56,16,3240,5.078354135116113,czotayva-3241,bdbmnsqu-17,1
57,17,1517,6.7150341708001395,czlaaclr-1518,hgqtllsi-18,2
58,17,3922,8.25318534901873,xgyfzpfe-3923,hgqtllsi-18,2
59,18,656,13.771297990615137,auzqmwwo-657,vlqdumou-19,3
60,18,694,14.232094261579789,psoiqfrg-695,vlqdumou-19,3
61,18,1325,5.7642457986161455,hkosagra-1326,vlqdumou-19,3
62,19,274,6.342363817504049,accifawu-275,yxuihegi-20,4
63,19,1730,18.413046947898025,slxviaxs-1731,yxuihegi-20,4
64,19,2616,5.974461543524219,cwpvmjki-2617,yxuihegi-20,4
65,19,2667,5.8153438894251055,vlkbshej-2668,yxuihegi-20,4
66,20,680,12.439619383564704,pepvijli-681,yawfrkvw-21,4
67,20,1443,16.217854851765008,cqqanzjl-1444,yawfrkvw-21,4
68,20,2661,10.464969699635999,lfdnezja-2662,yawfrkvw-21,4
69,20,3127,18.517364541294924,qfjrztng-3128,yawfrkvw-21,4
70,21,1024,18.04222380489661,jnpvdxgo-1025,yiamichi-22,3
71,21,2846,18.28207211958886,pkxaqcni-2847,yiamichi-22,3
72,21,3573,14.330157371332554,fanzrgnn-3574,yiamichi-22,3
73,22,1937,19.267632472262207,qjuhurcz-1938,xhwmlxzc-23,1
74,23,2822,7.696519721502944,lgausxya-2823,nyxyqryl-24,2
75,23,4297,8.26875627704197,hospzytg-4298,nyxyqryl-24,2
76,24,1217,17.282761428254513,xpttjgbw-1218,fvjikaal-25,1
77,25,833,16.409769424428355,otzqqkfs-834,wfrsbuen-26,4
78,25,889,13.58773594157863,jzvklmjv-890,wfrsbuen-26,4
79,25,2297,5.769273084817901,iddvqedk-2298,wfrsbuen-26,4
80,25,2850,19.701743279544495,pojnuzne-2851,wfrsbuen-26,4
81,26,908,15.657837893941545,rfrxzcpe-909,lrmpkrqc-27,7
82,26,1519,11.348724393760035,ligxughn-1520,lrmpkrqc-27,7
83,26,1661,17.840377645377888,bwtrkllx-1662,lrmpkrqc-27,7
84,26,1772,15.395638980358628,nansrcep-1773,lrmpkrqc-27,7
85,26,2387,15.458926122512896,skqmrwuc-2388,lrmpkrqc-27,7
86,26,3849,19.65146301853712,czzseapq-3850,lrmpkrqc-27,7
87,26,4166,15.420375104142055,tmazpvhh-4167,lrmpkrqc-27,7
88,27,1729,8.920150430651496,ehrnqktn-1730,kbsqfppv-28,1
89,28,589,17.8440180691764,vtywmxho-590,jdotzael-29,6
90,28,2142,15.27014722108208,gsdriczy-2143,jdotzael-29,6
91,28,2833,17.22756045829228,xxfgqmwi-2834,jdotzael-29,6
92,28,3125,2.8742271146694556,nrusaovl-3126,jdotzael-29,6
93,28,3494,8.758830901736564,ohlefcrq-3495,jdotzael-29,6
94,28,3873,19.43308571567209,jzjeeumn-3874,jdotzael-29,6
95,29,1093,14.860587704650007,foijbrwd-1094,rehtfpcv-30,3
96,29,2166,13.164986658582293,etvbzvaw-2167,rehtfpcv-30,3
97,29,3459,0.7101265229399217,qhwwsrtd-3460,rehtfpcv-30,3
98,30,312,10.64878188678343,qxhxlqju-313,otadmkzl-31,5
99,30,1020,3.9095432179699148,vdfjmhjz-1021,otadmkzl-31,5
